reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,1,3,10,3,42.09263580001425,,42.079939600022044,42.09263580001425,43.09286630002316,43.09286630002316,43.09286630002316,45.278029799985234,t,2.168198300001677,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,1,4,11,5,45.29279770003632,,45.27912850002758,45.29279770003632,46.293040000018664,46.293040000018664,46.293040000018664,61.027901599998586,t,14.719295699964277,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,1,5,12,1,61.04273560002912,,61.02923500002362,61.04273560002912,62.042971900023986,62.042971900023986,62.042971900023986,66.37757190002594,l,4.323620999988634,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,1,6,13,2,66.39302950003184,,66.37874240003293,66.39302950003184,67.39300959999673,67.39300959999673,67.39300959999673,69.14510439999867,l,1.7497294000349939,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,2,0,14,1,69.1593511000392,,69.14635130000534,69.1593511000392,70.15962009999203,70.15962009999203,70.15962009999203,72.99493320001056,l,2.822104299964849,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,2,1,15,0,73.00938910001423,,72.99602550000418,73.00938910001423,74.00958700000774,74.00958700000774,74.00958700000774,87.26110460003838,l,13.234690199955367,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,2,2,16,6,87.27585129998624,,87.26225150004029,87.27585129998624,88.27599200000986,88.27599200000986,88.27599200000986,92.79509820003295,t,4.5087089000153355,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,2,3,17,3,92.82062499999302,,92.80337360000703,92.82062499999302,93.80951280001318,93.80951280001318,93.82602109998697,95.87776780000422,t,2.054364900046494,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,2,4,18,5,95.89280860003782,,95.87896440003533,95.89280860003782,96.89307580003515,96.89307580003515,96.89307580003515,98.79475990001811,t,1.8958632000139914,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,2,5,19,2,98.80954899999779,,98.7959278000053,98.80954899999779,99.80972449999535,99.80972449999535,99.80972449999535,101.06153110001469,l,1.237573100021109,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,2,6,20,4,101.07622670003911,,101.06275119999191,101.07622670003911,102.07625179999741,102.07625179999741,102.07625179999741,110.62787100003334,l,8.54567429999588,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,3,0,21,4,110.64312449999852,,110.62906700000167,110.64312449999852,111.64314589998685,111.64314589998685,111.64314589998685,113.36160250002285,l,1.7101126000052318,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,3,1,22,6,113.37602969998261,,113.36282239999855,113.37602969998261,114.37621590000344,114.37621590000344,114.37621590000344,115.5113668999984,t,1.1215019999654032,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,3,2,23,3,115.5261624000268,,115.51251369999954,115.5261624000268,116.52631019998807,116.52631019998807,116.52631019998807,117.91157890000613,t,1.376657199987676,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,3,3,24,0,117.92628750001313,,117.91275110002607,117.92628750001313,118.92609259998426,118.92609259998426,118.92609259998426,120.49596369999927,l,1.5567028999794275,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,3,4,25,5,120.5097051000339,,120.49718410003697,120.5097051000339,121.50972110003931,121.50972110003931,121.50972110003931,129.89515370002482,t,8.368186499981675,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,3,5,26,1,129.90989950002404,,129.89620760001708,129.90989950002404,130.90979539998807,130.90979539998807,130.90979539998807,132.77805530000478,l,1.8651322000077926,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,3,6,27,2,132.79310160002206,,132.7792528999853,132.79310160002206,133.79309360001935,133.79309360001935,133.79309360001935,136.0455948000308,l,2.238427300006151,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,4,0,28,5,136.06032510002842,,136.04688530002022,136.06032510002842,137.05982770002447,137.05982770002447,137.05982770002447,146.3779984000139,t,9.308725100010633,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,4,1,29,4,146.3928821000154,,146.37919980002334,146.3928821000154,147.3932163999998,147.3932163999998,147.3932163999998,160.8782177999965,t,13.476684899942484,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,4,2,30,6,160.8930969000212,,160.8794506000122,160.8930969000212,161.89332339999964,161.89332339999964,161.89332339999964,173.69517520000227,t,11.79590939998161,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,4,3,31,3,173.7097784000216,,173.6963420000393,173.7097784000216,174.71006800001487,174.71006800001487,174.71006800001487,188.54694700002437,t,13.833817399980035,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,4,4,32,1,188.55999099998735,,188.5481434999965,188.55999099998735,189.56021710002096,189.56021710002096,189.56021710002096,199.11191939999117,l,9.54095509997569,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,4,5,33,2,199.12632169999415,,199.113050999993,199.12632169999415,200.12647200003266,200.12647200003266,200.12647200003266,205.39530209999066,l,5.264271199994255,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,4,6,34,0,205.40998100000434,,205.39651510003023,205.40998100000434,206.41017340001417,206.41017340001417,206.41017340001417,209.16403889999492,l,2.7490300000063144,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,5,0,35,6,209.1787317999988,,209.16525369999,209.1787317999988,210.1763802000205,210.1763802000205,210.19343139999546,211.47836160002043,t,1.289576000010129,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,5,1,36,1,211.49329660000512,,211.4795485000359,211.49329660000512,212.4933258999954,212.4933258999954,212.4933258999954,214.69522880000295,l,2.194527300016489,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,5,2,37,5,214.71021170000313,,214.69650670001283,214.71021170000313,215.71007590001682,215.71007590001682,215.71007590001682,216.62906370003475,t,0.91618949995609,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,5,3,38,4,216.64338760002283,,216.6302449000068,216.64338760002283,217.64353040000424,217.64353040000424,217.64353040000424,223.9122483000392,t,6.262922599969897,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,5,4,39,0,223.9265714000212,,223.91342430002987,223.9265714000212,224.92667320003966,224.92667320003966,224.92667320003966,229.3121044000145,l,4.375216000014916,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,5,5,40,2,229.32647939998424,,229.3133220000309,229.32647939998424,230.32650710002054,230.32650710002054,230.32650710002054,231.895348799997,l,1.5515600999933667,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,5,6,41,3,231.9100960000069,,231.8965642999974,231.9100960000069,232.91014190000715,232.91014190000715,232.91014190000715,235.84523780003656,t,2.9190990999923088,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,6,0,42,1,235.86006050003925,,235.84651230002055,235.86006050003925,236.86029849998886,236.86029849998886,236.86029849998886,250.37840220000362,l,13.510682399966754,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,6,1,43,0,250.39343619998544,,250.37963580002543,250.39343619998544,251.3934252000181,251.3934252000181,251.3934252000181,259.0285498999874,l,7.627573599980678,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,6,2,44,2,259.04364340001484,,259.0297471000231,259.04364340001484,260.04359600000316,260.04359600000316,260.04359600000316,266.0119672000292,l,5.951402600039728,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
