reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,0,0.1170884000021033,,0.021659999969415367,0.1170884000021033,1.0096881000208668,1.0096881000208668,1.1260144999832846,7.322922499966808,l,6.2954546000109985,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
67,75,119,0,1,1,5,7.3452838999801315,,7.326606700022239,7.3452838999801315,8.326727400009986,8.326727400009986,8.35983039997518,11.361092099978123,t,3.018862300028559,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
40,55,62,0,2,2,3,11.377871899981983,,11.362214599968866,11.377871899981983,12.37624740001047,12.37624740001047,12.392840699991211,13.911558799969498,t,1.5297686000121757,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
15,35,13,0,3,3,1,13.92600079998374,,13.912774799973704,13.92600079998374,14.926082400023006,14.926082400023006,14.926082400023006,15.812088000006042,l,0.8828699999721721,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
78,80,162,0,4,4,6,15.831176300009247,,15.813303800008725,15.831176300009247,16.825993400008883,16.825993400008883,16.84284449997358,17.62942800001474,t,0.7998041000100784,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
27,50,21,0,5,5,2,17.64288320002379,,17.63065429998096,17.64288320002379,18.643094400002155,18.643094400002155,18.643094400002155,19.495414400007576,l,0.8470535000087693,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
49,60,89,0,6,6,4,19.50941810000222,,19.49647750001168,19.50941810000222,20.509613999980502,20.509613999980502,20.509613999980502,21.294948900002055,t,0.7750690000248142,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
49,60,89,1,0,7,4,21.309590000018943,,21.296745800005738,21.309590000018943,22.309608799987473,22.309608799987473,22.309608799987473,24.378978200023994,t,2.066981600015424,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
27,50,21,1,1,8,2,24.393356500018854,,24.38039539998863,24.393356500018854,25.3928961000056,25.3928961000056,25.3928961000056,26.611466799979098,l,1.2034381999983452,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
15,35,13,1,2,9,1,26.626301200012676,,26.612616099999286,26.626301200012676,27.626059899979737,27.626059899979737,27.626059899979737,28.861636699992232,l,1.2189424999523908,None,004,001,2024-11-19_23h30.40.897,delay discounting,2024.1.5,None,2024-11-19 23h30.51.462029 +0530,
