reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.05532600003061816,,0.010500399977900088,0.05532600003061816,1.0065366000053473,1.0065366000053473,1.0565108000300825,8.594764499983285,l,7.579226000001654,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
27,50,21,0,1,1,2,8.605643599992618,,8.595900400017854,8.605643599992618,9.606680600030813,9.606680600030813,9.606680600030813,14.890952399990056,t,5.282568900031038,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
78,80,162,0,2,2,6,14.905955400026869,,14.891394499980379,14.905955400026869,15.906518200004939,15.906518200004939,15.906518200004939,21.32437490002485,t,5.41263669996988,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
11,30,7,0,3,3,0,21.339228400029242,,21.32500860001892,21.339228400029242,22.339586500020232,22.339586500020232,22.339586500020232,25.907717900001444,l,3.5568698999704793,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
40,55,62,0,4,4,3,25.92269109998597,,25.90840630000457,25.92269109998597,26.923093500023242,26.923093500023242,26.923093500023242,29.60801470000297,t,2.681280400021933,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
49,60,89,0,5,5,4,29.622643999988213,,29.608455099980347,29.622643999988213,30.62345660000574,30.62345660000574,30.62345660000574,34.85756949998904,t,4.216960599995218,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
15,35,13,0,6,6,1,34.87305809999816,,34.85822549997829,34.87305809999816,35.87306740001077,35.87306740001077,35.87306740001077,39.957753100025,l,4.070314500015229,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
67,75,119,1,0,7,5,39.97292400000151,,39.95839440001873,39.97292400000151,40.97239609999815,40.97239609999815,40.97239609999815,43.407348399981856,t,2.4251367000397295,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
11,30,7,1,1,8,0,43.42317660001572,,43.40794320002897,43.42317660001572,44.42349900002591,44.42349900002591,44.42349900002591,46.64092560001882,l,2.212320599996019,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
27,50,21,1,2,9,2,46.65630600001896,,46.64146499999333,46.65630600001896,47.65652219997719,47.65652219997719,47.65652219997719,53.35834410000825,t,5.699930900009349,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
78,80,162,1,3,10,6,53.3730518000084,,53.35875600000145,53.3730518000084,54.372975300007965,54.372975300007965,54.372975300007965,56.174916599993594,t,1.7989002999966033,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
15,35,13,1,4,11,1,56.18952279997757,,56.175497699994594,56.18952279997757,57.18945469998289,57.18945469998289,57.18945469998289,61.7735031999764,l,4.579376499983482,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
40,55,62,1,5,12,3,61.78971799998544,,61.77394619997358,61.78971799998544,62.77326480002375,62.77326480002375,62.78946400003042,66.34134610003093,t,3.562706900003832,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
49,60,89,1,6,13,4,66.35629889997654,,66.34203830000479,66.35629889997654,67.35632229998009,67.35632229998009,67.35632229998009,69.29112810001243,l,1.9290358999860473,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
27,50,21,2,0,14,2,69.30622979998589,,69.29179859999567,69.30622979998589,70.30635640001856,70.30635640001856,70.30635640001856,77.85786699998425,l,7.545075599977281,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
78,80,162,2,1,15,6,77.87329130002763,,77.85849230003078,77.87329130002763,78.87314769998193,78.87314769998193,78.87314769998193,86.97461340000154,t,8.09002689999761,None,499777,001,2024-11-18_13h41.49.817,delay discounting,2024.1.5,None,2024-11-18 13h41.51.946559 +0530,
